人物ID,姓名,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,生年月日,没年月日,人物著作権フラグ
989,三遊亭円朝,三遊亭,円朝,さんゆうてい,えんちょう,さんゆうてい,えんちよう,San'yutei,Encho,1839-05-13,1900-08-11,なし
1477,陳寿,陳,寿,ちん,じゅ,ちん,しゆ,Chen,Shou,233,297,なし
1429,石原純,石原,純,いしわら,あつし,いしわら,あつし,Ishiwara,Atsushi,1881-1-15,1947-1-19,なし
726,長谷川時雨,長谷川,時雨,はせがわ,しぐれ,はせかわ,しくれ,Hasegawa,Shigure,1879-10-01,1941-08-22,なし
1011,波多野精一,波多野,精一,はたの,せいいち,はたの,せいいち,Hatano,Seiichi,1877-07-21,1950-01-17,なし
886,泉鏡太郎,泉,鏡太郎,いずみ,きょうたろう,いすみ,きようたろう,Izumi,Kyotaro,1873-11-04,1939-09-07,なし
981,巌谷小波,巌谷,小波,いわや,さざなみ,いわや,ささなみ,Iwaya,Sazanami,1870-07-04,1933-09-05,なし
136,山村暮鳥,山村,暮鳥,やまむら,ぼちょう,やまむら,ほちよう,Yamamura,Bocho,1884-01-10,1924-12-08,なし
261,幸徳秋水,幸徳,秋水,こうとく,しゅうすい,こうとく,しゆうすい,Kotoku,Shusui,1871-11-05,1911-01-24,なし
284,内藤湖南,内藤,湖南,ないとう,こなん,ないとう,こなん,Naito,Konan,1866-08-26,1934-06-26,なし
1875,壺井栄,壺井,栄,つぼい,さかえ,つほい,さかえ,Tsuboi,Sakae,1899-08-05,1967-06-23,なし
649,田中正造,田中,正造,たなか,しょうぞう,たなか,しようそう,Tanaka,Shozo,1841-12-15,1913-09-04,なし
355,上村松園,上村,松園,うえむら,しょうえん,うえむら,しようえん,Uemura,Shoen,1875-04-23,1949-08-27,なし
1277,ガンジーマハトマ,ガンジー,マハトマ,ガンジー,マハトマ,かんしい,まはとま,Gandhi,Mahatma,1869-10-02,1948-01-30,なし
1311,三好十郎,三好,十郎,みよし,じゅうろう,みよし,しゆうろう,Miyoshi,Juro,1902-04-21,1958-12-16,なし
259,小出楢重,小出,楢重,こいで,ならしげ,こいて,ならしけ,Koide,Narashige,1887-10-13,1931-02-13,なし
190,大手拓次,大手,拓次,おおて,たくじ,おおて,たくし,Ote,Takuji,1887-12-03,1934-04-18,なし
506,河合栄治郎,河合,栄治郎,かわい,えいじろう,かわい,えいしろう,Kawai,Eijiro,1891-02-13,1944-02-15,なし
1749,三好達治,三好,達治,みよし,たつじ,みよし,たつし,Miyoshi,Tatsuji,1900-08-23,1964-04-05,なし
1047,マロエクトール・アンリ,マロ,エクトール・アンリ,マロ,エクトール・アンリ,まろ,えくとおるあんり,Malot,Hector Henri,1830-05-20,1907-07-17,なし
1021,井上円了,井上,円了,いのうえ,えんりょう,いのうえ,えんりよう,Inoue,Enryo,1858-03-18,1919-06-06,なし
595,島田清次郎,島田,清次郎,しまだ,せいじろう,しまた,せいしろう,Shimada,Seijiro,1899-02-26,1930-04-29,なし
1052,久坂葉子,久坂,葉子,くさか,ようこ,くさか,ようこ,Kusaka,Yoko,1931-03-27,1952-12-31,なし
1541,高山毅,高山,毅,たかやま,つよし,たかやま,つよし,Takayama,Tsuyoshi,1911-08-01,1961-10-28,なし
1558,古川緑波,古川,緑波,ふるかわ,ろっぱ,ふるかわ,ろつは,Furukawa,Roppa,1903-08-13,1961-01-16,なし
23,徳田秋声,徳田,秋声,とくだ,しゅうせい,とくた,しゆうせい,Tokuda,Shusei,1872-02-01,1943-11-18,なし
1312,木村荘八,木村,荘八,きむら,しょうはち,きむら,しようはち,Kimura,Shohachi,1893-08-21,1958-11-18,なし
77,押川春浪,押川,春浪,おしかわ,しゅんろう,おしかわ,しゆんろう,Oshikawa,Shunro,1876-03-21,1914-11-16,なし
1416,田山録弥,田山,録弥,たやま,ろくや,たやま,ろくや,Tayama,Rokuya,1872-01-22,1930-05-13,なし
1398,高木貞治,高木,貞治,たかぎ,ていじ,たかき,ていし,Takagi,Teiji,1875-04-21,1960-02-28,なし
1088,プーシキンアレクサンドル・セルゲーヴィチ,プーシキン,アレクサンドル・セルゲーヴィチ,プーシキン,アレクサンドル・セルゲーヴィチ,ふうしきん,あれくさんとるせるけえういち,Pushkin,Aleksandr Sergeevich,1799-05-26,1837-01-17,なし
61,橋本進吉,橋本,進吉,はしもと,しんきち,はしもと,しんきち,Hashimoto,Shinkichi,1882-12-24,1945-01-30,なし
1536,桂三木助,桂,三木助,かつら,みきすけ,かつら,みきすけ,Katsura,Mikisuke,1902-03-28,1961-01-16,なし
169,大杉栄,大杉,栄,おおすぎ,さかえ,おおすき,さかえ,Osugi,Sakae,1885-01-17,1923-09-16,なし
1570,小倉金之助,小倉,金之助,おぐら,きんのすけ,おくら,きんのすけ,ogura,kinnosuke,1885-03-14,1962-10-21,なし
967,香倶土三鳥,香倶土,三鳥,かぐつち,みどり,かくつち,みとり,Kagutsuchi,Midori,1889-01-04,1936-03-11,なし
984,葛西善蔵,葛西,善蔵,かさい,ぜんぞう,かさい,せんそう,Kasai,Zenzo,1887-01-16,1928-07-23,なし
8,島木健作,島木,健作,しまき,けんさく,しまき,けんさく,Shimaki,Kensaku,1903-09-07,1945-08-17,なし
89,北一輝,北,一輝,きた,いっき,きた,いつき,Kita,Ikki,1883-04-03,1937-08-19,なし
271,高山樗牛,高山,樗牛,たかやま,ちょぎゅう,たかやま,ちよきゆう,Takayama,Chogyu,1871-02-28,1902-12-24,なし
1293,小野佐世男,小野,佐世男,おの,させお,おの,させお,Ono,Saseo,1905-02-06,1954-02-01,なし
227,生田春月,生田,春月,いくた,しゅんげつ,いくた,しゆんけつ,Ikuta,Shungetsu,1892-03-12,1930-05-19,なし
1520,柳宗悦,柳,宗悦,やなぎ,むねよし,やなき,むねよし,Yanagi,Muneyoshi,1889-03-21,1961-05-03,なし
224,小泉節子,小泉,節子,こいずみ,せつこ,こいすみ,せつこ,Koizumi,Setsuko,1868-02-04,1932-02-18,なし
301,穂積陳重,穂積,陳重,ほづみ,のぶしげ,ほつみ,のふしけ,Hozumi,Nobushige,1855-08-23,1926-04-07,なし
1156,ルナールジュール,ルナール,ジュール,ルナール,ジュール,るなある,しゆうる,Renard,Jules,1864-02-22,1910-05-22,なし
922,末弘厳太郎,末弘,厳太郎,すえひろ,いずたろう,すえひろ,いすたろう,Suehiro,Izutaro,1888-11-30,1951-09-11,なし
1364,ニューコムシモン,ニューコム,シモン,ニューコム,シモン,にゆうこむ,しもん,Newcomb,Simon,1835,1909,なし
1242,坪井正五郎,坪井,正五郎,つぼい,しょうごろう,つほい,しようころう,Tsuboi,Shogoro,1863-02-22,1913-05-26,なし
1065,高田力,高田,力,たかた,つとむ,たかた,つとむ,Takata,Tsutomu,,1950,なし
1081,土井晩翠,土井,晩翠,どい,ばんすい,とい,はんすい,Doi,Bansui,1871-12-05,1952-10-19,なし
1584,秋田雨雀,秋田,雨雀,あきた,うじゃく,あきた,うしやく,Akita,Ujyaku,1883-01-30,1962-05-12,なし
1217,ヴァレリーポール,ヴァレリー,ポール,ヴァレリー,ポール,うあれりい,ほおる,Valery,Paul,1871-10-30,1945-07-20,なし
564,斎藤秀三郎,斎藤,秀三郎,さいとう,ひでさぶろう,さいとう,ひてさふろう,Saito,Hidesaburo,1866-02-16,1929-11-09,なし
416,伊藤野枝,伊藤,野枝,いとう,のえ,いとう,のえ,Ito,Noe,1895-01-21,1923-09-16,なし
1581,正宗白鳥,正宗,白鳥,まさむね,はくちょう,まさむね,はくちよう,Masamune,Hakucho,1879-03-03,1962-10-28,なし
1695,飯田蛇笏,飯田,蛇笏,いいだ,だこつ,いいた,たこつ,Iida,Dakotsu,1885-04-26,1962-10-03,なし
1305,羽志主水,羽志,主水,はし,もんど,はし,もんと,hashi,mondo,1884-06-03,1957-02-26,なし
63,宮武外骨,宮武,外骨,みやたけ,がいこつ,みやたけ,かいこつ,Miyatake,Gaikotsu,1867-02-22,1955-07-28,なし
270,高村光雲,高村,光雲,たかむら,こううん,たかむら,こううん,Takamura,Koun,1852-03-08,1934-10-10,なし
748,平田晋策,平田,晋策,ひらた,しんさく,ひらた,しんさく,Hirata,Shinsaku,1904-03-06,1936-01-28,なし
1310,高浜虚子,高浜,虚子,たかはま,きょし,たかはま,きよし,Takahama,Kyoshi,1874-02-22,1959-04-08,なし
1331,秋月種樹,秋月,種樹,あきづき,たねたつ,あきつき,たねたつ,Akizuki,Tanetatsu,1833-11-28,1904-10-17,なし
1332,佐藤一斎,佐藤,一斎,さとう,いっさい,さとう,いつさい,Sato,Issai,1772-11-14,1859-10-19,なし
1166,中井正一,中井,正一,なかい,まさかず,なかい,まさかす,Nakai,Masakazu,1900-02-14,1952-05-18,なし
1568,妹尾アキ夫,妹尾,アキ夫,せのお,あきお,せのお,あきお,Senoo,Akio,1892-03-04,1962-04-19,なし
1313,正岡容,正岡,容,まさおか,いるる,まさおか,いるる,Masaoka,Iruru,1904-12-20,1958-12-07,なし
1344,喜田貞吉,喜田,貞吉,きた,さだきち,きた,さたきち,Kita,Sadakichi,1871-07-11,1939-07-03,なし
1648,土谷麓,土谷,麓,つちや,ふもと,つちや,ふもと,Tsuchiya,Fumoto,1914-03-30,1962-09-03,なし
340,ガールシンフセヴォロド・ミハイロヴィチ,ガールシン,フセヴォロド・ミハイロヴィチ,ガールシン,フセヴォロド・ミハイロヴィチ,かあるしん,ふせうおろとみはいろういち,Garshin,Vsevolod Mikhailvich,1855-02-14,1888-04-05,なし
368,添田唖蝉坊,添田,唖蝉坊,そえだ,あぜんぼう,そえた,あせんほう,Soeda,Azenbo,1872-12-25,1944-02-08,なし
1733,フリーマンリチャード オースティン,フリーマン,リチャード オースティン,フリーマン,リチャード オースティン,ふりいまん,りちやあとおおすていん,Freeman,Richard Austin,1862-04-11,1943-09-28,なし
1420,中山太郎,中山,太郎,なかやま,たろう,なかやま,たろう,Nakayama,Taro,1876-11-13,1947-06-13,なし
1668,西東三鬼,西東,三鬼,さいとう,さんき,さいとう,さんき,Saito,Sanki,1900-05-15,1962-04-01,なし
1125,井上紅梅,井上,紅梅,いのうえ,こうばい,いのうえ,こうはい,Inoue,Kobai,1881,1950,なし
1263,服部之総,服部,之総,はっとり,しそう,はつとり,しそう,Hattori,Shiso,1901-09-24,1956-03-04,なし
2034,井上基志,井上,基志,いのうえ,もとし,いのうえ,もとし,Inoue,Motoshi,,,あり
843,山田美妙,山田,美妙,やまだ,びみょう,やまた,ひみよう,Yamada,Bimyo,1868-08-25,1910-10-24,なし
255,国枝史郎,国枝,史郎,くにえだ,しろう,くにえた,しろう,Kunieda,Shiro,1887-10-10,1943-04-08,なし
150,薄田泣菫,薄田,泣菫,すすきだ,きゅうきん,すすきた,きゆうきん,Susukida,Kyukin,1877-05-19,1945-10-09,なし
1248,佐藤垢石,佐藤,垢石,さとう,こうせき,さとう,こうせき,Sato,Koseki,1888-06-18,1956-07-04,なし
1068,釈迢空,釈,迢空,しゃく,ちょうくう,しやく,ちようくう,Shaku,Choku,1887-02-11,1953-09-03,なし
1499,外村繁,外村,繁,とのむら,しげる,とのむら,しける,Tonomura,Shigeru,1902-12-23,1961-07-28,なし
905,ホーソーンナサニエル,ホーソーン,ナサニエル,ホーソーン,ナサニエル,ほおそおん,なさにえる,Hawthorne,Nathaniel,1804-07-04,1864-05-19,なし
1488,火野葦平,火野,葦平,ひの,あしへい,ひの,あしへい,Hino,Ashihei,1907-01-25,1960-01-24,なし
310,三上於菟吉,三上,於菟吉,みかみ,おときち,みかみ,おときち,Mikami,Otokichi,1891-02-04,1944-02-07,なし
1349,武田祐吉,武田,祐吉,たけだ,ゆうきち,たけた,ゆうきち,Takeda,Yukichi,1886-05-05,1958-03-29,なし
1468,賀川豊彦,賀川,豊彦,かがわ,とよひこ,かかわ,とよひこ,Kagawa,Toyohiko,1888-07-10,1960-04-23,なし
1143,西尾正,西尾,正,にしお,ただし,にしお,たたし,Nishio,Tadashi,1907-12-12,1949-03-10,なし
1487,浅沼稲次郎,浅沼,稲次郎,あさぬま,いねじろう,あさぬま,いねしろう,Asanuma,Inejiro,1898-12-27,1960-10-12,なし
1789,日本経済新聞社,日本経済新聞社,,にほんけいざいしんぶんしゃ,,にほんけいさいしんふんしや,,Nihon Keizai Shinbunsha,,,,なし
1212,中江兆民,中江,兆民,なかえ,ちょうみん,なかえ,ちようみん,Nakae,Chomin,1847-12-08,1901-12-13,なし
1417,中江篤介,中江,篤介,なかえ,とくすけ,なかえ,とくすけ,Nakae,Tokusuke,1847-12-08,1901-12-13,なし
1535,津田左右吉,津田,左右吉,つだ,そうきち,つた,そうきち,Tsuda,Sokichi,1873-10-03,1961-12-04,なし
315,森林太郎,森,林太郎,もり,りんたろう,もり,りんたろう,Mori,Rintaro,1862-02-17,1922-07-09,なし
1211,清沢満之,清沢,満之,きよざわ,まんし,きよさわ,まんし,Kiyozawa,Manshi,1863-08-10,1903-06-06,なし
1669,大倉燁子,大倉,燁子,おおくら,てるこ,おおくら,てるこ,Okura,Teruko,1886-04-12,1960-07-18,なし
1340,ブラウニングロバート,ブラウニング,ロバート,ブラウニング,ロバート,ふらうにんく,ろはあと,Browning,Robert,1812-05-07,1889-12-12,なし
1153,長岡半太郎,長岡,半太郎,ながおか,はんたろう,なかおか,はんたろう,Nagaoka,Hantaro,1865-08-19,1950-12-11,なし
289,浜尾四郎,浜尾,四郎,はまお,しろう,はまお,しろう,Hamao,Shiro,1896-04-24,1935-10-29,なし
1329,ウォルトンみちよ,ウォルトン,みちよ,ウォルトン,みちよ,うおるとん,みちよ,Walton,Michiyo,,,あり
248,上司小剣,上司,小剣,かみつかさ,しょうけん,かみつかさ,しようけん,Kamitsukasa,Shoken,1874-12-15,1947-09-02,なし
1205,下村千秋,下村,千秋,しもむら,ちあき,しもむら,ちあき,Shimomura,Chiaki,1893-09-04,1955-01-31,なし
810,村井弦斎,村井,弦斎,むらい,げんさい,むらい,けんさい,Murai,Gensai,1863-12-18,1927-07-30,なし
1157,神西清,神西,清,じんざい,きよし,しんさい,きよし,Jinzai,Kiyoshi,1903-11-15,1957-03-11,なし
1578,今村明恒,今村,明恒,いまむら,あきつね,いまむら,あきつね,Imamura,Akitsune,1870-06-14,1948-01-01,なし
1127,狩野直喜,狩野,直喜,かの,なおき,かの,なおき,Kano,Naoki,1868-02-11,1947-12-13,なし
1407,ストレイチーリットン,ストレイチー,リットン,ストレイチー,リットン,すとれいちい,りつとん,Strachey,Lytton,1880-03-01,1932-01-21,なし
276,知里幸恵,知里,幸恵,ちり,ゆきえ,ちり,ゆきえ,Chiri,Yukie,1903-06-08,1922-09-18,なし
1539,片山敏彦,片山,敏彦,かたやま,としひこ,かたやま,としひこ,Katayama,Toshihiko,1898-11-05,1961-10-11,なし
320,与謝野寛,与謝野,寛,よさの,ひろし,よさの,ひろし,Yosano,Hiroshi,1873-02-26,1935-03-26,なし
1612,江森盛弥,江森,盛弥,えもり,もりや,えもり,もりや,Emori,Moriya,1903-08-18,1960-04-05,なし
525,木下尚江,木下,尚江,きのした,なおえ,きのした,なおえ,Kinoshita,Naoe,1869-10-12,1937-11-05,なし
325,蘭郁二郎,蘭,郁二郎,らん,いくじろう,らん,いくしろう,Ran,Ikujiro,1913-09-02,1944-01-05,なし
1397,橘外男,橘,外男,たちばな,そとお,たちはな,そとお,Tachibana,Sotoo,1894-10-10,1959-07-09,なし
1142,酒井嘉七,酒井,嘉七,さかい,かしち,さかい,かしち,Sakai,Kashichi,1903,1946,なし
1454,伊藤永之介,伊藤,永之介,いとう,えいのすけ,いとう,えいのすけ,Ito,Einosuke,1903-11-21,1959-07-26,なし
1425,小寺菊子,小寺,菊子,こでら,きくこ,こてら,きくこ,Kodera,Kikuko,1883-08-07,1956-11-26,なし
260,甲賀三郎,甲賀,三郎,こうが,さぶろう,こうか,さふろう,Koga,Saburo,1893-10-05,1945-02-14,なし
268,関根金次郎,関根,金次郎,せきね,きんじろう,せきね,きんしろう,Sekine,Kinjiro,1868-04-01,1946-03-12,なし
1399,マクラウドフィオナ,マクラウド,フィオナ,マクラウド,フィオナ,まくらうと,ふいおな,Macleod,Fiona,1855-09-12,1905-12-12,なし
1325,上村経吉,上村,経吉,うえむら,つねきち,うえむら,つねきち,Uemura,Tsunekichi,1868-04-28,1922-11-21,なし
1326,小笠原長生,小笠原,長生,おがさわら,ながなり,おかさわら,なかなり,Ogasawara,Nganari,1867-12-15,1958-09-20,なし
236,大阪圭吉,大阪,圭吉,おおさか,けいきち,おおさか,けいきち,Osaka,Keikichi,1912-03-20,1945-07-02,なし
1346,片山広子,片山,広子,かたやま,ひろこ,かたやま,ひろこ,Katayama,Hiroko,1878-02-10,1957-03-19,なし
1486,佐藤緑葉,佐藤,緑葉,さとう,りょくよう,さとう,りよくよう,Sto,Ryokuyo,1886-07-01,1960-09-02,なし
75,リルケライネル・マリア,リルケ,ライネル・マリア,リルケ,ライネル・マリア,りるけ,らいねるまりあ,Rilke,Rainer Maria,1875-12-04,1926-12-29,なし
262,小酒井不木,小酒井,不木,こざかい,ふぼく,こさかい,ふほく,Kosakai,Fuboku,1890-10-08,1929-04-01,なし
1179,土田耕平,土田,耕平,つちだ,こうへい,つちた,こうへい,Tsuchida,Kohei,1895-01-25,1940-08-12,なし
1497,吉井勇,吉井,勇,よしい,いさむ,よしい,いさむ,Yoshii,Isamu,1886-10-08,1960-11-19,なし
1054,浜田青陵,浜田,青陵,はまだ,せいりょう,はまた,せいりよう,Hamada,Seiryo,1881-02-22,1938-07-25,なし
740,原口統三,原口,統三,はらぐち,とうぞう,はらくち,とうそう,Haraguchi,Tozo,1927-01-14,1946-10-25,なし
1479,風巻景次郎,風巻,景次郎,かざまき,けいじろう,かさまき,けいしろう,Kazamaki,Keijiro,1902-05-22,1960-01-04,なし
95,佐々木直次郎,佐々木,直次郎,ささき,なおじろう,ささき,なおしろう,Sasaki,Naojiro,1901-03-27,1943-05-24,なし
241,小栗風葉,小栗,風葉,おぐり,ふうよう,おくり,ふうよう,Oguri,Fuyo,1875-02-03,1926-01-15,なし
1195,ダビットヤーコプ・ユリウス,ダビット,ヤーコプ・ユリウス,ダビット,ヤーコプ・ユリウス,たひつと,やあこふゆりうす,David,Jakob Julius,1859,1906,なし
1372,柴崎芳太郎,柴崎,芳太郎,しばざき,よしたろう,しはさき,よしたろう,Shibazaki,Yoshitaro,1876-08-13,1938-01-29,なし
684,内藤鳴雪,内藤,鳴雪,ないとう,めいせつ,ないとう,めいせつ,Naito,Meisetsu,1847-05-29,1926-02-20,なし
1702,ベートーヴェンルートヴィヒ・ヴァン,ベートーヴェン,ルートヴィヒ・ヴァン,ベートーヴェン,ルートヴィヒ・ヴァン,へえとおうえん,るうとういひうあん,Beethoven,Ludwig van,1770-12,1827-03-26,なし
1190,アルテンベルクペーター,アルテンベルク,ペーター,アルテンベルク,ペーター,あるてんへるく,へえたあ,ALTENBERG,PETER,1859-03-09,1919-01-08,なし
252,金史良,金,史良,きむ,さりゃん,きむ,さりやん,Kim,Sa-ryang,1914-03-03,1950,なし
488,小柳司気太,小柳,司気太,おやなぎ,しげた,おやなき,しけた,Oyanagi,Shigeta,1870-12-24,1940-07-18,なし
275,近松秋江,近松,秋江,ちかまつ,しゅうこう,ちかまつ,しゆうこう,Chikamatsu,Shuko,1876-05-04,1944-04-23,なし
1193,オイレンベルクヘルベルト,オイレンベルク,ヘルベルト,オイレンベルク,ヘルベルト,おいれんへるく,へるへると,Eulenberg,Herbert,1876-01-25,1949-09-04,なし
1308,徳永直,徳永,直,とくなが,すなお,とくなか,すなお,Tokunaga,Sunao,1899-01-20,1958-02-15,なし
1192,ホーフマンスタールフーゴー・フォン,ホーフマンスタール,フーゴー・フォン,ホーフマンスタール,フーゴー・フォン,ほおふまんすたある,ふうこおふおん,Hofmannsthal,Hugo von,1874-02-01,1929-07-15,なし
978,竹越与三郎,竹越,与三郎,たけこし,よさぶろう,たけこし,よさふろう,Takekoshi,Yosaburo,1865-11-22,1950-01-12,なし
1229,クロポトキンピョートル・アレクセーヴィチ,クロポトキン,ピョートル・アレクセーヴィチ,クロポトキン,ピョートル・アレクセーヴィチ,くろほときん,ひよおとるあれくせえういち,Kropotkin,Pyotr Alkseevich,1842-12-09,1921-02-08,なし
1272,溝口健二,溝口,健二,みぞぐち,けんじ,みそくち,けんし,Mizoguchi,Kenji,1898-05-16,1956-08-24,なし
603,白鳥庫吉,白鳥,庫吉,しらとり,くらきち,しらとり,くらきち,Shiratori,Kurakichi,1865-03-01,1942-04-01,なし
134,佐左木俊郎,佐左木,俊郎,ささき,としろう,ささき,としろう,Sasaki,Toshiro,1900-04-14,1933-03-13,なし
304,牧逸馬,牧,逸馬,まき,いつま,まき,いつま,Maki,Itsuma,1900-01-17,1935-06-29,なし
1543,犬養健,犬養,健,いぬかい,たける,いぬかい,たける,Inukai,Takeru,1896-07-28,1960-08-28,なし
10,大久保ゆう,大久保,ゆう,おおくぼ,ゆう,おおくほ,ゆう,Okubo,Yu,1982,,あり
712,成島柳北,成島,柳北,なるしま,りゅうほく,なるしま,りゆうほく,Narushima,Ryuhoku,1837-03-22,1884-11-30,なし
1575,濹上漁史,濹上漁史,,ぼくじょうぎょし,,ほくしようきよし,,Bokujogyoshi,,1837-03-22,1884-11-30,なし
48,南部修太郎,南部,修太郎,なんぶ,しゅうたろう,なんふ,しゆうたろう,Nanbu,Shutaro,1892-10-12,1936-06-22,なし
1151,久米正雄,久米,正雄,くめ,まさお,くめ,まさお,Kume,Masao,1891-11-23,1952-03-01,なし
247,加能作次郎,加能,作次郎,かのう,さくじろう,かのう,さくしろう,Kano,Sakujiro,1885-01-10,1941-08-05,なし
930,山本禾太郎,山本,禾太郎,やまもと,のぎたろう,やまもと,のきたろう,Yamamoto,Nogitaro,1889-02-28,1951-03-16,なし
162,若山牧水,若山,牧水,わかやま,ぼくすい,わかやま,ほくすい,Wakayama,Bokusui,1885-08-24,1928-09-17,なし
388,淡島寒月,淡島,寒月,あわしま,かんげつ,あわしま,かんけつ,Awashima,Kangetsu,1859-11-17,1926-02-23,なし
102,石橋忍月,石橋,忍月,いしばし,にんげつ,いしはし,にんけつ,Ishibashi,Ningetsu,1865-10-20,1926-02-01,なし
1154,岸田国士,岸田,国士,きしだ,くにお,きした,くにお,Kishida,Kunio,1890-11-02,1954-03-05,なし
212,竹久夢二,竹久,夢二,たけひさ,ゆめじ,たけひさ,ゆめし,Takehisa,Yumeji,1884-09-16,1934-09-01,なし
457,大槻文彦,大槻,文彦,おおつき,ふみひこ,おおつき,ふみひこ,Otsuki,Fumihiko,1847-12-22,1928-02-17,なし
963,野上豊一郎,野上,豊一郎,のがみ,とよいちろう,のかみ,とよいちろう,Nogami,Toyoichiro,1883-09-14,1950-02-23,なし
1261,邦枝完二,邦枝,完二,くにえだ,かんじ,くにえた,かんし,Kunieda,Kanji,1892-12-28,1956-08-02,なし
1222,高楠順次郎,高楠,順次郎,たかくす,じゅんじろう,たかくす,しゆんしろう,Takakusu,Junjiro,1866-06-29,1945-06-28,なし
1865,大堀竜太郎,大堀,竜太郎,おおほり,りゅうたろう,おおほり,りゆうたろう,Ohori,Ryutaro,,,あり
1306,川田功,川田,功,かわだ,いさお,かわた,いさお,Kawada,Isao,1882,1931,なし
278,津村信夫,津村,信夫,つむら,のぶお,つむら,のふお,Tsumura,Nobuo,1909-01-05,1944-06-27,なし
1178,テーラージェーン,テーラー,ジェーン,テーラー,ジェーン,てえらあ,しええん,Taylor,Jane,1783,1824,なし
1370,豊田三郎,豊田,三郎,とよだ,さぶろう,とよた,さふろう,Toyoda,Saburo,1907-02-12,1959-11-18,なし
221,平林初之輔,平林,初之輔,ひらばやし,はつのすけ,ひらはやし,はつのすけ,Hirabayashi,Hatsunosuke,1892-11-08,1931-06-15,なし
606,杉田久女,杉田,久女,すぎた,ひさじょ,すきた,ひさしよ,Sugita,Hisajo,1890-05-30,1946-01-21,なし
754,福士幸次郎,福士,幸次郎,ふくし,こうじろう,ふくし,こうしろう,Fukushi,Kojiro,1889-11-05,1946-10-11,なし
290,林不忘,林,不忘,はやし,ふぼう,はやし,ふほう,Hayashi,Fubo,1900-01-17,1935-06-29,なし
565,斎藤緑雨,斎藤,緑雨,さいとう,りょくう,さいとう,りよくう,Saito,Ryokuu,1868-01-24,1904-04-13,なし
959,相馬御風,相馬,御風,そうま,ぎょふう,そうま,きよふう,Soma,Gyofu,1883-07-10,1950-05-08,なし
1123,チェスタートンギルバート・キース,チェスタートン,ギルバート・キース,チェスタートン,ギルバート・キース,ちえすたあとん,きるはあときいす,Chesterton,Gilbert Keith,1874-05-29,1936-06-14,なし
